Job_Satisfaction,Performance_Rating,Years_At_Company,Work_Life_Balance,Distance_From_Home,Monthly_Income,Education_Level,Age,Num_Companies_Worked,Employee_Role,Annual_Bonus,Training_Hours,Department,Annual_Bonus_Squared,Annual_Bonus_Training_Hours_Interaction,Employee_Turnover
0.56232631,0.141128613,0.123988908,0.347583363,0.330353158,0.328853234,0.600932787,0.315990156,0.768735869,0.090670768,0.324785858,0.669193129,0.60293211,0.105485853,0.217344464,0
0.017040718,0.559046809,0.511203147,0.793908383,0.423549817,0.55345043,0.742009304,0.897145872,0.380034576,0.601633496,0.694610903,0.043270676,0.800760508,0.482484307,0.030056284,0
0.774699138,0.604371,0.798174235,0.26050042,0.804034052,0.131799867,0.775177808,0.830947167,0.218725777,0.972935722,0.15347596,0.701336128,0.705275395,0.02355487,0.107638236,1
0.628174408,0.385249395,0.230103866,0.516809352,0.272248314,0.589248725,0.482408667,0.09050731,0.40274578,0.132842325,0.305973291,0.549688127,0.600531298,0.093619655,0.168189885,0
0.799183208,0.199966586,0.839029226,0.247927228,0.341934148,0.076818454,0.055356313,0.680860121,0.923341085,0.493016854,0.844093712,0.79375125,0.664678723,0.712494195,0.670000439,0
0.180463292,0.624730292,0.027877415,0.73514232,0.042221652,0.674079542,0.212368845,0.591190988,0.275974687,0.022402814,0.685537049,0.448659144,0.724230663,0.469961046,0.307572466,0
0.438281233,0.096155254,0.360634994,0.841280066,0.973046242,0.845081671,0.162228391,0.345509298,0.831188159,0.553895934,0.776185797,0.777783267,0.071087901,0.602464392,0.603704325,0
0.031834602,0.775622325,0.12610199,0.780592141,0.616668253,0.474318181,0.480458533,0.092658074,0.222780705,0.642847218,0.873098206,0.237202699,0.084776946,0.762300477,0.207101251,0
0.610362849,0.877507925,0.594027443,0.443167436,0.328581809,0.970093212,0.47824871,0.359246688,0.907728198,0.811864359,0.588739472,0.566064234,0.497350618,0.346614165,0.333264358,1
0.472282768,0.470477381,0.086397051,0.173956673,0.278577366,0.587710368,0.996111511,0.367684057,0.8482498,0.013798579,0.773082528,0.461489757,0.666162857,0.597656596,0.356769668,0
0.339689571,0.721737551,0.140119787,0.896053769,0.155031141,0.677191203,0.981790186,0.739135272,0.763043482,0.32616566,0.594283264,0.01708419,0.661852929,0.353172598,0.010152848,0
0.160230466,0.661117512,0.440263753,0.076486769,0.696463145,0.247398756,0.039615523,0.059944298,0.061078537,0.907732957,0.739883918,0.898062357,0.672582311,0.547428212,0.664461895,0
0.204877693,0.810003861,0.567820655,0.139505194,0.804894027,0.95858591,0.346163873,0.293512252,0.081775178,0.664491226,0.958961618,0.13599269,0.485159631,0.919607386,0.13041177,1
0.102322299,0.874587108,0.727828769,0.874429899,0.390177195,0.616340567,0.479422153,0.983198669,0.389982073,0.815603333,0.589781279,0.31464059,0.411795577,0.347841957,0.18556913,1
0.261296761,0.263687088,0.707708565,0.05162329,0.344981142,0.426372927,0.073292797,0.458401538,0.531407726,0.970818553,0.873518181,0.930553189,0.270729968,0.763034012,0.812855129,0
0.161261864,0.96739414,0.34092777,0.888996863,0.072274533,0.143771072,0.441395871,0.047672027,0.269513655,0.598836516,0.13162892,0.124468042,0.40118658,0.017326173,0.016383594,0
0.77322453,0.719555944,0.913578918,0.728960198,0.107145318,0.664994824,0.412059338,0.259614777,0.601951422,0.302190167,0.530856326,0.575977385,0.529066915,0.281808439,0.305761238,1
0.704714712,0.245064218,0.885834279,0.078723607,0.475933357,0.436388291,0.862354177,0.968786318,0.953626238,0.054929795,0.990766196,0.667966694,0.252286229,0.981617656,0.661798821,0
0.646455911,0.14131405,0.161218213,0.09306714,0.191173765,0.597950901,0.838286475,0.893867652,0.400043887,0.558583029,0.809199592,0.312070521,0.595669004,0.65480398,0.252527338,0
0.804638127,0.964722826,0.419350992,0.319002095,0.282079509,0.690986467,0.971877408,0.285818954,0.462278216,0.576330926,0.953923591,0.247145166,0.961632976,0.909970218,0.235757604,1
0.123486772,0.462247278,0.654832523,0.371870047,0.517245836,0.94695455,0.310389648,0.175009904,0.907565116,0.483253705,0.496356599,0.953562593,0.267807666,0.246369874,0.473307086,0
0.669269417,0.400341056,0.542245143,0.16985998,0.819554883,0.722311993,0.224357289,0.232447248,0.229042406,0.150179567,0.552973546,0.191062001,0.442445616,0.305779743,0.105652232,1
0.08783705,0.592935138,0.398259278,0.550329044,0.124065021,0.786177556,0.511956046,0.830930557,0.20681226,0.938084161,0.578184693,0.075685706,0.313717671,0.33429754,0.043760317,0
0.808575602,0.319342865,0.659326261,0.589031039,0.716504394,0.053830726,0.800943435,0.218518694,0.635316389,0.273001977,0.016286326,0.738934266,0.06892242,0.000265244,0.012034524,1
0.504386324,0.557650814,0.317872847,0.614175002,0.419600363,0.199228146,0.6566051,0.373840569,0.785066379,0.415394958,0.508271375,0.787466479,0.447878093,0.258339791,0.40024667,0
