Page_traffic,Unit_price,Units_sold,Segment,1_Star_Rating,2_Star_Rating,3_Star_Rating,4_Star_Rating,5_Star_Rating,Image_Count,Bullet_Count,Title_Count,Description_Length,num_unique_Search_Terms,Organic Search Rank,Num_of_Promotions,Sum of Spend,Online_Clicks,Online_Cost,Online_Impressions,num_unique_campaigns,Clicks_video,Cost_video,Impressions_video,num_unique_campaigns_offline,Units_sold>1000
5835.0,22.2143891839691,2071,Skincare,99.0,72.0,194.0,453.0,3272.0,6.0,6.0,89.0,141.0,3.0,3.0,0.0,0.0,1271.0,3102.448114772405,238075.0,6.0,3479.0,40244.28,3856872.0,2.0,1
1881.0,11.87077826725404,681,Skincare,118.0,73.0,200.0,430.0,3084.0,9.0,8.0,126.0,149.0,13.0,16.0,0.0,0.0,494.0,1723.716359049061,75868.0,2.0,0.0,0.0,0.0,0.0,0
2477.0,27.64571428571428,875,Makeup,108.0,85.0,232.0,511.0,3402.0,10.0,7.0,152.0,186.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4087.0,16.89684813753582,1396,Makeup,82.0,64.0,167.0,303.0,2058.0,5.0,7.0,117.0,209.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1446.0,16.35766423357664,822,Hair Care,29.0,24.0,88.0,200.0,1221.0,0.0,8.0,165.0,158.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.0,77040.81,7539723.0,2.0,0
2875.0,19.55812036273701,1213,Skincare,62.0,55.0,165.0,285.0,1775.0,12.0,5.0,83.0,60.0,3.0,16.0,0.0,0.0,588.0,1748.099523166486,86068.0,2.0,0.0,0.0,0.0,0.0,1
4688.0,22.30575256107171,1269,Makeup,0.0,0.0,0.0,0.0,0.0,7.0,7.0,114.0,209.0,3.0,37.0,1.0,837.4086432967126,924.0,3462.254284954175,237797.0,6.0,0.0,0.0,0.0,0.0,1
3947.0,14.01656804733728,845,Makeup,43.0,29.0,74.0,191.0,1403.0,13.0,6.0,113.0,209.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5503.0,23.75960866526904,1431,Skincare,35.0,33.0,73.0,135.0,665.0,8.0,5.0,125.0,221.0,3.0,4.0,0.0,0.0,905.0,2073.768656935164,123596.0,2.0,0.0,0.0,0.0,0.0,1
4131.0,27.84563758389262,1043,Skincare,0.0,0.0,25.0,66.0,403.0,9.0,5.0,85.0,59.0,1.0,3.0,0.0,0.0,1168.0,4346.174220317698,260507.0,4.0,0.0,0.0,0.0,0.0,1
1935.0,21.13953488372093,817,Makeup,91.0,69.0,188.0,395.0,2548.0,0.0,8.0,163.0,158.0,9.0,31.0,1.0,267.3323188826733,803.0,2655.087606311014,115834.0,2.0,0.0,0.0,0.0,0.0,0
2182.0,18.22809917355372,1210,Makeup,36.0,24.0,49.0,123.0,718.0,14.0,7.0,122.0,209.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3792.0,31.92911392405063,790,Makeup,88.0,51.0,156.0,335.0,2389.0,13.0,7.0,137.0,209.0,8.0,52.0,0.0,0.0,793.0,4853.248336921532,172331.0,6.0,0.0,0.0,0.0,0.0,0
4077.0,25.08177339901478,1015,Skincare,56.0,45.0,140.0,301.0,2218.0,0.0,8.0,161.0,158.0,5.0,10.0,1.0,170.767976721698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5760.0,20.0209545983702,1718,Skincare,19.0,15.0,42.0,149.0,1154.0,0.0,6.0,76.0,96.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4907.0,22.52289603960396,1616,Makeup,82.0,55.0,130.0,241.0,1437.0,0.0,6.0,86.0,116.0,0.0,15.0,0.0,0.0,1215.0,2651.044339411264,96210.0,2.0,5379.0,61559.15,6156021.0,2.0,1
1929.0,31.83416252072968,603,Makeup,152.0,106.0,306.0,676.0,4353.0,9.0,8.0,126.0,221.0,7.0,22.0,0.0,0.0,539.0,1791.399665253036,74889.0,4.0,0.0,0.0,0.0,0.0,0
4286.0,18.13150074294205,1346,Makeup,53.0,51.0,163.0,298.0,1895.0,0.0,6.0,76.0,97.0,2.0,3.0,0.0,0.0,851.0,3457.978229298561,167260.0,4.0,0.0,0.0,0.0,0.0,1
2411.0,36.33443163097199,1214,Makeup,119.0,82.0,217.0,452.0,3148.0,16.0,7.0,139.0,123.0,4.0,17.0,0.0,0.0,676.0,4505.030629501191,201772.0,4.0,0.0,0.0,0.0,0.0,1
3531.0,10.59970887918486,687,Skincare,15.0,0.0,0.0,0.0,0.0,8.0,5.0,91.0,54.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1865.0,19.5929203539823,1243,Skincare,56.0,39.0,125.0,283.0,1977.0,11.0,6.0,70.0,148.0,4.0,38.0,0.0,0.0,796.0,4312.447997323679,126800.0,2.0,6375.0,77040.81,7539723.0,2.0,1
3536.0,22.0780487804878,615,Skincare,27.0,16.0,49.0,154.0,1052.0,9.0,6.0,84.0,63.0,9.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6021.0,21.70942720763723,1676,Makeup,51.0,54.0,144.0,313.0,2066.0,12.0,6.0,86.0,65.0,8.0,9.0,0.0,0.0,1305.0,3312.343946542841,155167.0,2.0,5379.0,61559.15,6156021.0,2.0,1
3245.0,20.21952957947256,1403,Makeup,30.0,24.0,64.0,115.0,653.0,0.0,6.0,82.0,105.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9522.0,102695.19,8531176.0,6.0,1
2048.0,12.63295269168026,1226,Skincare,0.0,0.0,0.0,0.0,0.0,10.0,6.0,89.0,68.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4709.0,26.10399334442596,1202,Skincare,29.0,25.0,59.0,77.0,0.0,0.0,8.0,173.0,158.0,0.0,31.0,0.0,0.0,1579.0,4107.93897695766,229271.0,2.0,4330.0,56344.76,5344861.0,2.0,1
3789.0,7.063926940639269,876,Makeup,38.0,30.0,64.0,132.0,882.0,5.0,5.0,91.0,59.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1828.0,36.78998609179416,719,Makeup,67.0,40.0,173.0,273.0,1677.0,7.0,8.0,125.0,221.0,3.0,11.0,0.0,0.0,427.0,1180.807399212199,56436.0,2.0,0.0,0.0,0.0,0.0,0
2898.0,30.09019607843137,765,Makeup,43.0,23.0,45.0,100.0,523.0,7.0,5.0,85.0,123.0,4.0,23.0,0.0,0.0,1471.0,2977.053530592123,470687.0,2.0,0.0,0.0,0.0,0.0,0
237.0,21.28395061728395,0,Hair Care,114.0,92.0,243.0,462.0,3057.0,9.0,7.0,153.0,186.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3298.0,13.38422818791946,1192,Makeup,89.0,63.0,158.0,227.0,936.0,8.0,8.0,127.0,221.0,3.0,28.0,1.0,523.9032880980344,0.0,0.0,0.0,0.0,6024.0,77040.81,7539723.0,2.0,1
3124.0,23.36532810969637,1021,Skincare,0.0,0.0,0.0,0.0,0.0,0.0,8.0,165.0,158.0,0.0,11.0,0.0,0.0,1216.0,4954.049763629276,153376.0,2.0,4330.0,56344.76,5344861.0,4.0,1
3485.0,21.59553158705701,1298,Makeup,0.0,11.0,20.0,74.0,421.0,0.0,6.0,79.0,99.0,0.0,17.0,0.0,0.0,776.0,2641.584510525597,145484.0,2.0,5812.0,70287.25,7108033.0,2.0,1
1887.0,23.4185303514377,626,Makeup,23.0,18.0,70.0,136.0,1133.0,10.0,8.0,126.0,221.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3271.0,35.99358151476252,779,Makeup,19.0,10.0,39.0,79.0,504.0,16.0,7.0,137.0,123.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.0,77040.81,7539723.0,2.0,0
3247.0,21.24526873580621,1321,Skincare,53.0,30.0,94.0,227.0,1794.0,0.0,6.0,77.0,99.0,7.0,7.0,0.0,0.0,878.0,3159.276573243097,142434.0,2.0,10579.0,111171.56,9223813.0,4.0,1
912.0,11.80559875583204,1286,Skincare,97.0,71.0,199.0,359.0,2548.0,10.0,7.0,151.0,186.0,4.0,32.0,1.0,936.2337657385448,0.0,0.0,0.0,0.0,3479.0,40244.28,3856872.0,2.0,1
3123.0,33.15532544378699,1352,Makeup,66.0,38.0,69.0,75.0,202.0,9.0,8.0,126.0,221.0,0.0,3.0,0.0,0.0,632.0,2998.503111548958,87438.0,2.0,0.0,0.0,0.0,0.0,1
5026.0,15.40221694378464,1263,Skincare,31.0,15.0,79.0,133.0,1078.0,7.0,7.0,84.0,62.0,5.0,23.0,0.0,0.0,1789.0,3235.065154707164,369490.0,2.0,0.0,0.0,0.0,0.0,1
2426.0,19.15075825156111,1121,Makeup,122.0,74.0,219.0,489.0,3399.0,14.0,6.0,92.0,196.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4996.0,25.07741027445461,1421,Makeup,20.0,0.0,0.0,0.0,0.0,8.0,8.0,126.0,221.0,5.0,53.0,0.0,0.0,636.0,1341.374942802558,113319.0,2.0,0.0,0.0,0.0,0.0,1
4170.0,13.49192462987887,1486,Skincare,83.0,48.0,167.0,356.0,2526.0,0.0,8.0,163.0,158.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2265.0,16.03965183752418,1034,Skincare,62.0,55.0,165.0,285.0,1775.0,12.0,5.0,83.0,60.0,7.0,23.0,0.0,0.0,801.0,3136.884776356701,118284.0,4.0,0.0,0.0,0.0,0.0,1
5626.0,12.06476030277544,1189,Makeup,102.0,60.0,154.0,217.0,997.0,0.0,8.0,167.0,57.0,4.0,28.0,0.0,0.0,463.0,991.1830835834312,97833.0,2.0,0.0,0.0,0.0,0.0,1
3652.0,25.56882738528769,1373,Makeup,71.0,53.0,135.0,259.0,1836.0,16.0,7.0,139.0,123.0,9.0,10.0,0.0,0.0,1357.0,2984.485982213767,398676.0,4.0,0.0,0.0,0.0,0.0,1
4256.0,30.30399274047187,1102,Makeup,51.0,33.0,113.0,232.0,1687.0,13.0,7.0,137.0,209.0,9.0,25.0,0.0,0.0,1349.0,3633.533181824981,147703.0,2.0,5561.0,61269.64,6298228.0,2.0,1
3261.0,21.54292002934703,1363,Skincare,78.0,58.0,143.0,324.0,2034.0,9.0,5.0,117.0,209.0,9.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,11413.0,125721.77,10372142.0,6.0,1
3585.0,10.62844036697248,1090,Skincare,96.0,71.0,197.0,391.0,2706.0,0.0,8.0,160.0,158.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3696.0,17.48066298342541,905,Makeup,57.0,43.0,155.0,235.0,1465.0,0.0,6.0,82.0,186.0,5.0,16.0,0.0,0.0,1045.0,5734.58214926524,306187.0,4.0,0.0,0.0,0.0,0.0,0
367.0,46.30528846153846,416,Makeup,65.0,57.0,186.0,390.0,2771.0,0.0,7.0,82.0,105.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.0,77040.81,7539723.0,2.0,0
860.0,23.56235827664399,441,Skincare,0.0,0.0,0.0,0.0,0.0,0.0,8.0,172.0,158.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
207.0,20.90566037735849,0,Makeup,104.0,64.0,192.0,453.0,2933.0,0.0,6.0,80.0,104.0,5.0,37.0,0.0,0.0,737.0,3026.137404268326,163218.0,2.0,0.0,0.0,0.0,0.0,0
3108.0,20.75451467268623,1772,Skincare,78.0,58.0,143.0,324.0,2034.0,9.0,5.0,117.0,209.0,9.0,37.0,0.0,0.0,726.0,4048.160433048109,124179.0,2.0,6491.0,83933.1,7960863.0,2.0,1
2456.0,24.37221269296741,1166,Skincare,60.0,50.0,120.0,246.0,1219.0,6.0,7.0,105.0,209.0,7.0,23.0,0.0,0.0,649.0,2689.029239908011,146652.0,4.0,0.0,0.0,0.0,0.0,1
3506.0,21.06142668428005,1514,Hair Care,106.0,78.0,233.0,474.0,3336.0,8.0,8.0,125.0,221.0,8.0,14.0,1.0,1450.018759590868,965.0,2866.446670638166,211738.0,4.0,3479.0,40244.28,3856872.0,2.0,1
5401.0,31.61016949152542,944,Hair Care,36.0,21.0,58.0,98.0,795.0,9.0,6.0,88.0,61.0,2.0,13.0,0.0,0.0,1213.0,4913.429971482414,202304.0,2.0,10579.0,111171.56,9223813.0,4.0,0
264.0,21.28395061728395,0,Hair Care,0.0,0.0,25.0,0.0,0.0,6.0,5.0,87.0,55.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4413.0,26.21351674641148,1672,Makeup,12.0,0.0,0.0,0.0,0.0,5.0,5.0,81.0,56.0,0.0,7.0,0.0,0.0,984.0,4742.97397648958,149030.0,4.0,0.0,0.0,0.0,0.0,1
1849.0,12.84279475982533,916,Skincare,112.0,76.0,213.0,443.0,3272.0,8.0,8.0,126.0,205.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6375.0,77040.81,7539723.0,2.0,0
845.0,15.71537970644544,1567,Skincare,83.0,55.0,141.0,280.0,1638.0,14.0,5.0,87.0,60.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2985.0,20.81426448736999,673,Skincare,34.0,17.0,50.0,143.0,1073.0,0.0,6.0,77.0,99.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3197.0,25.98824593128391,1106,Hair Care,40.0,35.0,71.0,158.0,1083.0,11.0,6.0,93.0,61.0,3.0,18.0,0.0,0.0,940.0,3798.403785533602,86815.0,2.0,4791.0,56344.76,5344861.0,2.0,1
2866.0,7.269767441860465,1075,Hair Care,0.0,0.0,0.0,0.0,0.0,7.0,5.0,84.0,58.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5208.0,16.92767295597484,1590,Skincare,59.0,40.0,116.0,263.0,1882.0,0.0,8.0,163.0,158.0,5.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,5379.0,61559.15,6156021.0,4.0,1
2280.0,60.68446601941748,206,Skincare,0.0,0.0,24.0,65.0,371.0,9.0,5.0,85.0,59.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
