SKU ID,Sector,Category,Segment,Brand,Revenue($),Units_sold,Page_traffic_equal_bin,Day,Month,Year
18,2,6,18,5,0,0,0.0,1,5,2021
43,2,6,9,21,0,0,0.0,8,5,2021
57,2,6,9,11,0,0,0.0,8,1,2022
45,2,6,9,21,0,0,0.0,5,11,2022
50,2,6,9,11,0,0,0.0,10,12,2022
8,2,6,18,6,8239,864,0.0,20,3,2021
10,2,6,18,5,25243,1513,1.0,9,4,2022
33,2,6,15,19,24707,1509,1.0,23,4,2022
6,2,6,18,6,25987,1449,1.0,11,6,2022
6,2,6,18,6,25605,1468,1.0,30,7,2022
28,2,6,15,6,0,0,0.0,22,5,2021
49,2,6,9,21,0,0,0.0,13,8,2022
31,2,6,15,19,0,0,0.0,24,12,2022
57,2,6,9,11,17760,1300,1.0,24,4,2021
57,2,6,9,11,24734,2091,1.0,2,10,2021
18,2,6,18,5,23204,1647,1.0,16,4,2022
58,2,6,9,11,29246,1774,1.0,29,10,2022
22,2,6,15,6,19870,1334,0.0,24,12,2022
47,2,6,9,21,11314,834,1.0,2,1,2021
33,2,6,15,19,16106,1265,1.0,17,4,2021
29,2,6,15,6,7743,905,1.0,15,5,2021
2,2,6,18,6,24570,1559,1.0,10,7,2021
27,2,6,15,6,15019,1070,1.0,17,7,2021
46,2,6,9,21,21228,1306,1.0,18,12,2021
4,2,6,18,6,16957,1105,1.0,26,2,2022
17,2,6,18,5,24651,1483,1.0,30,4,2022
22,2,6,15,6,32028,1853,1.0,11,6,2022
56,2,6,9,11,38978,1824,1.0,19,11,2022
31,2,6,15,19,33426,1920,1.0,3,12,2022
34,2,6,15,19,12873,620,0.0,2,1,2021
27,2,6,15,6,10152,564,0.0,13,3,2021
28,2,6,15,6,17564,1033,0.0,26,6,2021
42,2,6,9,21,22720,1336,0.0,14,8,2021
31,2,6,15,19,24876,1457,0.0,4,9,2021
44,2,6,9,21,27316,1427,0.0,26,3,2022
32,2,6,15,19,31058,1601,0.0,4,6,2022
37,2,6,15,19,0,0,0.0,5,6,2021
18,2,6,18,5,0,0,0.0,21,8,2021
14,2,6,18,5,0,0,0.0,23,10,2021
