SKU_ID,Date,Manufacturer,Sector,Category,Segment,Brand,Revenue($),Units_sold,Page_traffic,Online_Clicks,Online_Cost,Online_Impressions,num_unique_campaigns
SKU1029,2021-05-01,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,0,0,0.0,0,0,0,
SKU1054,2021-05-08,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0.0,0,0,0,
SKU1068,2022-01-08,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0.0,0,0,0,
SKU1056,2022-11-05,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,0.0,0,0,0,
SKU1061,2022-12-10,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,0,0,0.0,0,0,0,
SKU1019,2021-03-20,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,8239,864,3543.0,0,0,0,
SKU1021,2022-04-09,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,25243,1513,5639.0,0,0,0,
SKU1044,2022-04-23,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,24707,1509,5161.0,0,0,0,
SKU1017,2022-06-11,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,25987,1449,4400.0,0,0,0,
SKU1017,2022-07-30,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,25605,1468,4833.0,0,0,0,
SKU1039,2021-05-22,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,0,0,0.0,0,0,0,
SKU1060,2022-08-13,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,0,0,87.0,0,0,0,
SKU1042,2022-12-24,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,0,0,0.0,0,0,0,
SKU1068,2021-04-24,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,17760,1300,4087.0,0,0,0,
SKU1068,2021-10-02,Synergix solutions ,Oral Care,Toothpaste,,Himalaya Herbals,24734,2091,5142.0,0,0,0,
SKU1029,2022-04-16,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Close-up,23204,1647,4922.0,0,0,0,
SKU1069,2022-10-29,Synergix solutions ,,Toothpaste,Fluoride-Free Toothpaste,Himalaya Herbals,29246,1774,3593.0,0,0,0,
SKU1033,2022-12-24,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,19870,1334,3037.0,0,0,0,
SKU1058,2021-01-02,Synergix solutions ,Oral Care,Toothpaste,Fluoride-Free Toothpaste,Tom's of Maine,11314,834,5709.0,0,0,0,
SKU1044,2021-04-17,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Sensodyne,16106,1265,5351.0,0,0,0,
SKU1040,2021-05-15,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,7743,905,3828.0,0,0,0,
SKU1013,2021-07-10,Synergix solutions ,Oral Care,Toothpaste,Whitening Toothpaste,Colgate,24570,1559,6354.0,0,0,0,
SKU1038,2021-07-17,Synergix solutions ,Oral Care,Toothpaste,Sensitivity Toothpaste,Colgate,15019,1070,5808.0,0,0,0,
