vendor,profit_outlier_capped
Accenco,4.56
Accenco,21.7
Accenco,18.62
Accenco,11.64
Accenco,15.96
Accenco,-8.5974
Accenco,3.48
Accenco,21.2
Accenco,1.42
Accenco,2.72
Accenco,-11.624
Accenco,-26.46
Accenco,9.76
Accenco,9.12
Accenco,16.8
Accenco,228.84
Accenco,-6.064
Accenco,-4.836
Accenco,15.78
Accenco,95.712
Accenco,7.3008
Accenco,7.596
Accenco,21.1428
Accenco,18.96
Accenco,0.0
Accenco,12.48
Accenco,17.28
Accenco,2.64
Accenco,-11.19
Accenco,-0.8392
Accenco,34.4
Accenco,-3.28
Accenco,2.872
Accenco,-0.7040000000000001
Accenco,3.4216
Accenco,4.2384
Accenco,53.76
Accenco,31.76
Accenco,48.84
Accenco,5.367999999999999
Accenco,-6.867000000000001
Accenco,0.0
Accenco,7.44
Accenco,2.6
Accenco,5.68
Accenco,13.3
Accenco,16.8
Accenco,-2.6256
Accenco,0.3156
Accenco,32.095
Accenco,301.97196
Accenco,-10.968
Accenco,-0.06
Accenco,-15.38
Accenco,1.4456
Accenco,1.02
Accenco,0.98
Accenco,122.64
Accenco,44.5278
Accenco,38.15
Accenco,4.98
Accenco,3.98
Accenco,9.3
Accenco,12.0
Accenco,1.64
Accenco,15.636
Accenco,0.8
Accenco,12.42
Accenco,20.96
Accenco,4.62
Accenco,-6.608
Accenco,21.0128
Accenco,5.1
Accenco,-144.63594
Accenco,41.232
Accenco,1.068
Accenco,27.72
Accenco,8.08
Accenco,7.84
Accenco,28.848000000000003
Accenco,4.6
Accenco,4.76
Accenco,-20.671999999999997
Accenco,99.336
Accenco,-1.484
Accenco,-16.968
Accenco,24.0
Accenco,40.8
Accenco,147.5
Accenco,-19.752
Accenco,12.3
Accenco,4.14
Accenco,22.16
Accenco,6.16
Accenco,18.16
Accenco,-41.52
Accenco,3.92
Accenco,4.8
Accenco,11.76
Accenco,6.96
Accenco,7.4571
Accenco,9.8352
Accenco,-19.86
Accenco,10.08
Accenco,5.24
Accenco,-76.384
Accenco,137.151
Accenco,2.0492
Accenco,7.4872
Accenco,17.127
Accenco,33.8
Accenco,7.1
Accenco,74.8
Accenco,0.0
Accenco,91.8
Accenco,25.86
Accenco,15.3
Accenco,7.68
Accenco,1.3583
Accenco,-5.112
Accenco,-10.36
Accenco,3.7236
Accenco,10.1094
Accenco,301.97196
Accenco,0.8
Accenco,7.84
Accenco,-142.296
Accenco,24.16
Accenco,301.97196
Accenco,-53.79600000000001
Accenco,4.1160000000000005
Accenco,4.04
Accenco,1.6680000000000001
Accenco,50.8
Accenco,8.56
Accenco,42.8
Accenco,-11.44
Accenco,-61.931999999999995
Accenco,-118.44
Accenco,12.18
Accenco,2.26
Accenco,5.2
Accenco,-6.528
Accenco,6.624
Accenco,11.12
Accenco,-66.408
Accenco,16.88
Accenco,17.9
Accenco,33.16
Accenco,6.98
Accenco,6.6
Accenco,-3.5439999999999996
Accenco,1.6480000000000001
Accenco,-36.928000000000004
Accenco,-2.568
Accenco,-1.056
Accenco,0.0
Accenco,5.28
Accenco,29.76
Accenco,-1.04
Accenco,-0.564
Accenco,0.6
Accenco,2.76
Accenco,6.2208
Accenco,-75.168
Accenco,24.64
Accenco,0.0
Accenco,5.32
Accenco,13.3
Accenco,1.3159999999999998
Accenco,26.4
Accenco,3.9
Accenco,35.82
Accenco,-0.48
Accenco,-1.9656
Accenco,-0.06
Accenco,-0.036000000000000004
Accenco,3.12
Accenco,1.4256
Accenco,13.96
Accenco,9.36
Accenco,2.28
Accenco,7.04
Accenco,-1.308
Accenco,4.08
Accenco,7.04
Accenco,21.608
Accenco,39.48
Accenco,0.82
Accenco,3.9
Accenco,4.6818
Accenco,3.7680000000000002
Accenco,0.4
Accenco,9.6
Accenco,-23.855999999999998
Accenco,15.8
Accenco,-1.636
Accenco,-2.5
Accenco,24.3
Accenco,20.2
Accenco,4.48
Accenco,16.88
Accenco,-0.06
Accenco,9.36
Accenco,7.04
Accenco,4.496
Accenco,-16.704
Accenco,8.16
Accenco,-83.436
Accenco,-1.744
Accenco,-14.112
Accenco,6.6468
Accenco,12.7008
Accenco,-4.577
Accenco,-1.8392
Accenco,7.1
Accenco,1.24
Accenco,3.58
Accenco,8.08
Accenco,35.56
Accenco,45.9
Accenco,-11.124
Accenco,36.72
Accenco,2.98
Accenco,16.92
Accenco,47.0
Accenco,10.08
Accenco,3.68
Accenco,6.48
Accenco,9.2
Accenco,0.42
Accenco,3.8
Accenco,99.4
Accenco,14.78
Accenco,-22.24
Accenco,-11.52
Accenco,4.6176
Accenco,50.4
Accenco,1.56
Accenco,7.56
Accenco,5.28
Accenco,-9.732000000000001
Accenco,49.23
Accenco,-59.136
Accenco,14.2
Accenco,1.36
Accenco,-144.63594
Accenco,3.5152
Accenco,4.96
Accenco,1.08
Accenco,5.64
Accenco,16.38
Accenco,1.008
Accenco,7.2576
Accenco,20.868000000000002
Accenco,2.7
Accenco,5.92
Accenco,36.0
Accenco,-1.008
Accenco,2.6068
Accenco,16.7776
Accenco,-22.6716
Accenco,-5.1984
Accenco,3.4668
Accenco,-37.92
Accenco,27.76
Accenco,1.2948
Accenco,-2.0108
Accenco,13.72
Accenco,31.4
Accenco,3.16
Accenco,43.2
Accenco,7.7
Accenco,4.08
Accenco,-2.456
Accenco,6.688
Accenco,5.704
Accenco,-13.572000000000001
Accenco,26.6
Accenco,25.36
Accenco,4.56
Accenco,4.4824
Accenco,54.6912
Accenco,-1.284
Accenco,-4.66
Accenco,14.34
Accenco,10.12
Accenco,0.0
Accenco,-67.536
Accenco,5.58
Accenco,0.3
Accenco,4.296
Accenco,5.256
Accenco,4.16
Accenco,11.34
Accenco,5.34
Accenco,18.18
Accenco,7.04
Accenco,0.12
Accenco,86.76
Accenco,31.1
Accenco,7.16
Accenco,10.32
Accenco,59.24
Accenco,-3.6239999999999997
Accenco,-13.895999999999999
Accenco,7.92
Accenco,70.128
Accenco,34.68
Accenco,9.2
Accenco,12.8
Accenco,0.54
Accenco,17.78
Accenco,40.68
Accenco,3.92
Accenco,54.16
Accenco,11.4
Accenco,-3.0
Accenco,4.16
Accenco,2.7
Accenco,-2.2758
Accenco,1.38
Accenco,31.2832
Accenco,30.7008
Accenco,1.9712
Accenco,18.56
Accenco,14.2
Accenco,18.24
Accenco,5.664
Accenco,10.26
Accenco,10.395
Accenco,3.52
Accenco,21.7515
Accenco,0.0
Accenco,14.04
Accenco,3.44
Accenco,0.88
Accenco,3.72
Accenco,2.502
Accenco,1.112
Accenco,6.0412
Accenco,31.08
Accenco,-25.6
Accenco,-1.74
Accenco,22.8
Accenco,9.352
Accenco,15.328
Accenco,80.16
Accenco,-10.34
Accenco,7.343999999999999
Accenco,2.028
Accenco,-2.58
Accenco,10.7604
Accenco,3.8775
Accenco,20.72
Accenco,14.4
Accenco,20.064
Accenco,12.1032
Accenco,2.943
Accenco,48.5392
Accenco,0.32
Accenco,0.3
Accenco,13.76
Accenco,-1.14
Accenco,39.3
Accenco,5.52
Accenco,52.532
Accenco,8.2616
Accenco,84.184
Accenco,14.4
Accenco,6.84
Accenco,3.3
Accenco,-6.303999999999999
Accenco,0.74
Accenco,-29.375999999999998
Accenco,3.6
Accenco,2.016
Accenco,-27.36
Accenco,60.1
Accenco,1.38
Accenco,12.36
Accenco,56.55
Accenco,16.352
Accenco,1.6
Accenco,76.44
Accenco,-13.36
Accenco,10.8864
Accenco,14.3856
Accenco,62.056000000000004
Accenco,8.8624
Accenco,3.7236
Accenco,2.0748
Accenco,25.6
Accenco,31.98
Accenco,7.0
Accenco,14.985
Accenco,9.499
Accenco,301.97196
Accenco,4.48
Accenco,2.7
Accenco,-4.272
Accenco,5.92
Accenco,0.96
Accenco,40.0036
Accenco,8.16
Accenco,1.92
Accenco,0.0
Accenco,46.34
Accenco,-1.9656
Accenco,19.7
Accenco,97.68
Accenco,8.7
Accenco,6.28
Accenco,1.92
Accenco,34.08
Accenco,6.4
Accenco,-8.927999999999999
Accenco,-14.368
Accenco,275.66
Accenco,25.92
Accenco,37.8
Accenco,11.44
Accenco,9.92
Accenco,0.0
Accenco,0.46
Accenco,21.9
Accenco,-144.63594
Accenco,-0.7748
Accenco,-47.2542
Accenco,-5.1
Accenco,0.42
Accenco,21.028000000000002
Accenco,3.2
Accenco,72.84
Accenco,-11.284
Accenco,35.34
Accenco,18.54
Accenco,-2.508
Accenco,6.06
Accenco,8.8
Accenco,2.4
Accenco,8.64
Accenco,0.0
Accenco,13.88
Accenco,15.96
Accenco,-27.552
Accenco,0.384
Accenco,7.44
Accenco,13.4
Accenco,1.86
Accenco,0.64
Accenco,-102.95200000000001
Accenco,2.1319999999999997
Accenco,36.1
Accenco,1.24
Accenco,18.048
Accenco,11.16
Accenco,65.3256
Accenco,1.5691
Accenco,7.2576
Accenco,2.6
Accenco,47.34
Accenco,3.48
Accenco,1.8
Accenco,-10.248
Accenco,-15.776
Accenco,32.88
Accenco,2.04
Accenco,15.552
Accenco,46.02
Accenco,10.8588
